device_part_number,device_manufacturer,relationship_type,group_name,group_required,is_default,accessory_key,quantity
TP-MED4M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED4M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED4M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED4M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED4M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED4M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED4M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED4M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED4M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MED4M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED4M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED4M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED4M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED4M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED4M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED4M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED4M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED4M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MED5M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED5M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED5M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED5M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED5M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED5M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED5M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED5M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED5M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MED5M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED5M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED5M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED5M4,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED5M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED5M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED5M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED5M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED5M4,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MED8M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED8M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED8M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED8M28,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED8M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED8M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED8M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED8M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED8M28,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MED5M28C,Turing AI,option,Mount / Junction Box (Fixed Turret),true,true,TP-EFDJB,
TP-MED5M28C,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDTM,
TP-MED5M28C,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWJ,
TP-MED5M28C,Turing AI,option,Mount / Junction Box (Fixed Turret),true,false,TP-EFDWM,
TP-MED5M28C,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MED5M28C,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MED5M28C,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MED5M28C,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MED5M28C,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MVD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,true,TP-VDWJ,
TP-MVD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDWM,
TP-MVD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDJB,
TP-MVD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MVD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MVD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MVD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MVD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MVD5MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,true,TP-VDWJ,
TP-MVD5MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDWM,
TP-MVD5MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDJB,
TP-MVD5MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MVD5MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MVD5MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MVD5MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MVD5MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MVD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,true,TP-VDWJ,
TP-MVD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDWM,
TP-MVD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Turret),true,false,TP-VDJB,
TP-MVD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MVD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MVD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MVD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MVD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MMD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,true,TP-MDRM,
TP-MMD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDEP,
TP-MMD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWJ,
TP-MMD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDJB,
TP-MMD4MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWM,
TP-MMD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MMD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MMD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MMD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MMD4MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MMD5AV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,true,TP-MDRM,
TP-MMD5AV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDEP,
TP-MMD5AV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWJ,
TP-MMD5AV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDJB,
TP-MMD5AV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWM,
TP-MMD5AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MMD5AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MMD5AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MMD5AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MMD5AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MMD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,true,TP-MDRM,
TP-MMD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDEP,
TP-MMD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWJ,
TP-MMD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDJB,
TP-MMD8MV2,Turing AI,option,Mount / Junction Box (Varifocal Dome),true,false,TP-MDWM,
TP-MMD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MMD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MMD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MMD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MMD8MV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UDPM,
TP-MMB2AV5L,Turing AI,option,Junction Box (Varifocal Bullet),true,true,TP-MBJB,
TP-MMB2AV5L,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MMB2AV5L,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MMB2AV5L,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MMB2AV5L,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
TP-MMB4AV2,Turing AI,option,Junction Box (Varifocal Bullet),true,true,TP-MBJB,
TP-MMB4AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-UWPJ,
TP-MMB4AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME5,
TP-MMB4AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-IPME2,
TP-MMB4AV2,Turing AI,option,Universal Mounting Accessories,false,false,TP-AIPMB,
